Fecha,Tipo,Categoría,Descripción,Valor
01/08/2026,EXPENSE,Ahorro mensual,Ahorro mensual - 01/08/2026,400000.00,-400000.00
01/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 01/08/2026,35000.00,-400000.00
01/08/2026,INCOME,Fotocopias,Fotocopias - 01/08/2026,3900.00,-396100.00
01/08/2026,INCOME,Impresiones,Impresiones - 01/08/2026,1800.00,-394300.00
01/08/2026,INCOME,Papelería,Papeleria - 01/08/2026,3000.00,-391300.00
01/08/2026,INCOME,Internet,Internet - 01/08/2026,1500.00,-389800.00
01/08/2026,EXPENSE,Ahorro para pagar,Ahorro pagar - 01/08/2026,170000.00,-559800.00
01/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 01/08/2026,10000.00,-559800.00
01/08/2026,INCOME,Impresiones,Impresiones - 01/08/2026,1200.00,-558600.00
01/08/2026,INCOME,Papelería,Papeleria - 01/08/2026,1500.00,-557100.00
01/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 01/08/2026,9000.00,-557100.00
01/08/2026,INCOME,Impresiones,Impresiones - 01/08/2026,1200.00,-555900.00
01/08/2026,INCOME,Papelería,Papeleria - 01/08/2026,600.00,-555300.00
01/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 01/08/2026,6000.00,-555300.00
01/08/2026,INCOME,Impresiones,Impresiones - 01/08/2026,1000.00,-554300.00
01/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 01/08/2026,5500.00,-554300.00
01/08/2026,INCOME,Impresiones,Impresiones - 01/08/2026,2000.00,-552300.00
01/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 01/08/2026,23000.00,-552300.00
01/08/2026,INCOME,Impresiones,Impresiones - 01/08/2026,15000.00,-537300.00
01/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 01/08/2026,5500.00,-537300.00
01/08/2026,INCOME,Impresiones,Impresiones - 01/08/2026,4400.00,-532900.00
01/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 01/08/2026,2000.00,-532900.00
02/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 02/08/2026,20000.00,-532900.00
02/08/2026,INCOME,Fotocopias,Fotocopias - 02/08/2026,4200.00,-528700.00
02/08/2026,INCOME,Impresiones,Impresiones - 02/08/2026,7000.00,-521700.00
02/08/2026,INCOME,Papelería,Papeleria - 02/08/2026,1600.00,-520100.00
02/08/2026,INCOME,Internet,Internet - 02/08/2026,4700.00,-515400.00
02/08/2026,EXPENSE,Ahorro para pagar,Ahorro pagar - 02/08/2026,200000.00,-715400.00
02/08/2026,EXPENSE,Salidas,627000,627000.00,-1342400.00
02/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 02/08/2026,20000.00,-1342400.00
02/08/2026,INCOME,Fotocopias,Fotocopias - 02/08/2026,1200.00,-1341200.00
02/08/2026,INCOME,Impresiones,Impresiones - 02/08/2026,2000.00,-1339200.00
02/08/2026,INCOME,Papelería,Papeleria - 02/08/2026,3000.00,-1336200.00
02/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 02/08/2026,5500.00,-1336200.00
02/08/2026,INCOME,Fotocopias,Fotocopias - 02/08/2026,1700.00,-1334500.00
02/08/2026,INCOME,Impresiones,Impresiones - 02/08/2026,1800.00,-1332700.00
02/08/2026,INCOME,Papelería,Papeleria - 02/08/2026,4200.00,-1328500.00
02/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 02/08/2026,2000.00,-1328500.00
02/08/2026,INCOME,Fotocopias,Fotocopias - 02/08/2026,1500.00,-1327000.00
02/08/2026,INCOME,Impresiones,Impresiones - 02/08/2026,1200.00,-1325800.00
02/08/2026,INCOME,Papelería,Papeleria - 02/08/2026,1300.00,-1324500.00
02/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 02/08/2026,9000.00,-1324500.00
02/08/2026,INCOME,Fotocopias,Fotocopias - 02/08/2026,1800.00,-1322700.00
02/08/2026,INCOME,Impresiones,Impresiones - 02/08/2026,1200.00,-1321500.00
02/08/2026,INCOME,Papelería,Papeleria - 02/08/2026,4000.00,-1317500.00
02/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 02/08/2026,20000.00,-1317500.00
02/08/2026,INCOME,Fotocopias,Fotocopias - 02/08/2026,11400.00,-1306100.00
02/08/2026,INCOME,Impresiones,Impresiones - 02/08/2026,3100.00,-1303000.00
02/08/2026,INCOME,Papelería,Papeleria - 02/08/2026,2000.00,-1301000.00
02/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 02/08/2026,3000.00,-1301000.00
02/08/2026,INCOME,Fotocopias,Fotocopias - 02/08/2026,1500.00,-1299500.00
02/08/2026,INCOME,Impresiones,Impresiones - 02/08/2026,3000.00,-1296500.00
02/08/2026,INCOME,Papelería,Papeleria - 02/08/2026,1000.00,-1295500.00
02/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 02/08/2026,2000.00,-1295500.00
02/08/2026,INCOME,Fotocopias,Fotocopias - 02/08/2026,1800.00,-1293700.00
02/08/2026,INCOME,Impresiones,Impresiones - 02/08/2026,5000.00,-1288700.00
02/08/2026,INCOME,Papelería,Papeleria - 02/08/2026,700.00,-1288000.00
02/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 02/08/2026,10000.00,-1288000.00
02/08/2026,INCOME,Fotocopias,Fotocopias - 02/08/2026,1600.00,-1286400.00
02/08/2026,INCOME,Impresiones,Impresiones - 02/08/2026,9000.00,-1277400.00
02/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 02/08/2026,10000.00,-1277400.00
02/08/2026,INCOME,Fotocopias,Fotocopias - 02/08/2026,1400.00,-1276000.00
02/08/2026,INCOME,Impresiones,Impresiones - 02/08/2026,4200.00,-1271800.00
02/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 02/08/2026,10000.00,-1271800.00
02/08/2026,INCOME,Fotocopias,Fotocopias - 02/08/2026,3900.00,-1267900.00
